year,genre,duration,country,avg_vote,votes,rlwide_gross_income,reviews_from_critics
2017,Family,82,UK,5.3,773,8522,9
1966,Drama,85,"Spain, USA",6.6,556,8529,12
2014,"Comedy, Drama, Romance",90,"USA, Germany, Norway, UK, Montenegro",5.7,255,8612,40
2018,"Comedy, Drama",120,USA,6.9,131,8663,15
2014,"Comedy, Drama, Romance",94,Taiwan,6.3,175,8666,17
2016,"Action, Thriller",145,India,5.9,623,8782,2
2012,Drama,95,"France, Belgium",6.8,261,8817,4
2017,Drama,127,Japan,7,263,8864,8
2013,"Comedy, Drama",93,USA,6.1,257,8965,8
2012,Drama,85,USA,6.2,762,9000,11
1979,Drama,120,West Germany,7.8,11190,9061,52
2009,"Action, Crime",87,"Hong Kong, China",4.3,274,9145,9
2016,"Crime, Drama, Thriller",97,USA,5.4,4977,9149,29
2008,"Drama, Mystery, Thriller",100,"USA, Canada, UK",6.1,16405,9162,21
2002,"Drama, Romance",106,South Korea,7.2,1681,9230,9
2009,"Drama, Romance",89,"USA, Germany",6.1,2272,9309,47
2013,"Comedy, Romance",98,"Puerto Rico, USA",7,394,9338,2
2017,"Drama, Thriller",94,"Spain, Colombia",5.5,426,9406,13
2008,"Comedy, Drama, Romance",102,USA,5.4,844,9467,28
2001,"Drama, Romance",89,France,5.8,372,9475,6
2010,Thriller,106,Sweden,3.9,299,9560,9
2003,Drama,114,USA,5.5,505,9614,10
2016,"Drama, Thriller",100,"Romania, France",6.7,373,9669,21
2019,Horror,81,UK,3,123,9750,11
2015,Drama,131,"Portugal, France, Germany, Switzerland",7.1,1243,9756,52
2010,Drama,87,"Belgium, Germany, France",5.5,150,9822,14
2011,Action,160,India,2.9,496,9873,1
2016,"Comedy, Family",87,USA,4.8,170,9930,12
2019,"Romance, Thriller",90,USA,3.5,166,9956,
2009,"Drama, Romance, Thriller",89,"Germany, Austria",5.8,323,10056,19
2017,Comedy,99,"Germany, Italy",6.7,408,10081,18
2016,"Drama, Romance",96,"Ireland, Netherlands, Luxembourg",6.3,410,10107,10
2013,"Comedy, Crime, Thriller",106,"France, Luxembourg, Belgium",4.7,493,10201,19
2017,"Drama, Romance, Sci-Fi",89,USA,6.1,1703,10233,6
2009,"Comedy, Sport",92,USA,5.5,9268,10303,11
2015,Drama,86,UK,6.8,437,10412,29
2005,Comedy,90,Japan,6.6,732,10458,11
2018,"Comedy, Drama",130,India,6.4,306,10515,6
2005,"Comedy, Drama, Romance",109,"Denmark, Iceland",7.2,3117,10626,28
1968,Comedy,99,USA,7.6,35470,10631,65
2005,"Comedy, Fantasy",110,Egypt,5.9,548,10666,
1964,"Comedy, Romance",110,USA,6.4,7108,10721,22
1955,"Comedy, Drama, Musical",102,"France, Italy",7.3,3424,10799,36
2017,"Action, Crime",111,India,5.3,671,10815,3
2017,"Horror, Thriller",85,USA,2.3,281,10864,6
1951,"Comedy, Crime",78,UK,7.6,11695,10945,57
2014,"Drama, Horror, Thriller",70,Australia,4.8,393,10955,14
2017,"Comedy, Romance",140,India,5.3,432,11009,4
2014,Comedy,90,UK,4.8,1901,11060,18
2011,"Comedy, Drama",84,Iceland,6.7,521,11113,11
2009,Drama,86,USA,6.4,559,11183,21
2013,"Comedy, Drama",96,UK,2.9,143,11211,5
2013,"Drama, Sci-Fi, Thriller",126,Argentina,6.1,162,11273,4
2009,"Biography, Drama, Music",120,"Belgium, France",6.5,693,11323,9
1987,"Action, Adventure, Drama",82,"Italy, Netherlands",2.9,652,11385,20
2002,"Comedy, Mystery",95,USA,5.2,216,11422,3
2003,Drama,90,Hungary,6.5,149,11508,3
2015,"Comedy, Drama",98,Canada,7,493,11552,5
2015,"Crime, Drama",95,"Puerto Rico, USA",6.1,3316,11558,11
2008,"Drama, Romance",82,South Africa,5.8,261,11642,1
