zoom_level,alternative,avg_time_in_seconds,number_of_samples,example
1,left,0.0046706403799998955,392,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.012057079999999587,392,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.005295629974000008,392,average
1,right,0.010680517301999771,392,average
2,left,0.008752355509999999,671,[5.5;  7.5];  [700000000;  1078761917.5]
2,right,0.02564519745,671,[5.5;  7.5];  [700000000;  1078761917.5]
2,left,0.012963736770000001,671,[4.0;  6.0];  [0.0;  378761917.75]
2,right,0.0185236831,671,[4.0;  6.0];  [0.0;  378761917.75]
2,left,0.00973520209,671,[6.0;  8.0];  [300000000;  678761917.75]
2,right,0.018977753780000006,671,[6.0;  8.0];  [300000000;  678761917.75]
2,left,0.01568338603000001,671,[7.0;  9.0];  [200000000;  578761917.75]
2,right,0.020540815010000005,671,[7.0;  9.0];  [200000000;  578761917.75]
2,left,0.015358079029999985,671,[3.0;  5.0];  [0.0;  378761917.75]
2,right,0.018124580749999987,671,[3.0;  5.0];  [0.0;  378761917.75]
2,left,0.012498551886,671,average
2,right,0.020362406018,671,average
2,left,0.010553049840000028,928,[5.5;  7.5];  [700000000;  1078761917.5]
2,right,0.025547097180000016,928,[5.5;  7.5];  [700000000;  1078761917.5]
2,left,0.01748021115,928,[4.0;  6.0];  [0.0;  378761917.75]
2,right,0.029008076620000017,928,[4.0;  6.0];  [0.0;  378761917.75]
2,left,0.013674199139999992,928,[6.0;  8.0];  [300000000;  678761917.75]
2,right,0.02802560791000005,928,[6.0;  8.0];  [300000000;  678761917.75]
2,left,0.01848825952999995,928,[7.0;  9.0];  [200000000;  578761917.75]
2,right,0.027794493140000043,928,[7.0;  9.0];  [200000000;  578761917.75]
2,left,0.02095522631999998,928,[3.0;  5.0];  [0.0;  378761917.75]
2,right,0.028930859000000027,928,[3.0;  5.0];  [0.0;  378761917.75]
2,left,0.016230189195999993,928,average
2,right,0.027861226770000032,928,average
2,left,0.009460744739999995,948,[5.5;  7.5];  [700000000;  1078761917.5]
2,right,0.02325597521000006,948,[5.5;  7.5];  [700000000;  1078761917.5]
2,left,0.01777867888000003,948,[4.0;  6.0];  [0.0;  378761917.75]
2,right,0.024265076029999975,948,[4.0;  6.0];  [0.0;  378761917.75]
2,left,0.014034144239999975,948,[6.0;  8.0];  [300000000;  678761917.75]
2,right,0.02695735458999998,948,[6.0;  8.0];  [300000000;  678761917.75]
2,left,0.018086744699999997,948,[7.0;  9.0];  [200000000;  578761917.75]
2,right,0.025412071439999975,948,[7.0;  9.0];  [200000000;  578761917.75]
2,left,0.02158915190000002,948,[3.0;  5.0];  [0.0;  378761917.75]
2,right,0.02484776421999996,948,[3.0;  5.0];  [0.0;  378761917.75]
2,left,0.016189892892000003,948,average
2,right,0.02494764829799999,948,average
2,left,0.028250446760000044,2180,[5.5;  7.5];  [700000000;  1078761917.5]
2,right,0.05650475932999996,2180,[5.5;  7.5];  [700000000;  1078761917.5]
2,left,0.04351473417000008,2180,[4.0;  6.0];  [0.0;  378761917.75]
2,right,0.060225057480000004,2180,[4.0;  6.0];  [0.0;  378761917.75]
2,left,0.03138484195000004,2180,[6.0;  8.0];  [300000000;  678761917.75]
2,right,0.05877696223000001,2180,[6.0;  8.0];  [300000000;  678761917.75]
2,left,0.04534641531999995,2180,[7.0;  9.0];  [200000000;  578761917.75]
2,right,0.06601514678,2180,[7.0;  9.0];  [200000000;  578761917.75]
2,left,0.05018743774000001,2180,[3.0;  5.0];  [0.0;  378761917.75]
2,right,0.07045520563000011,2180,[3.0;  5.0];  [0.0;  378761917.75]
2,left,0.03973677518800002,2180,average
2,right,0.06239542629000002,2180,average
2,left,0.014261314159999898,1418,[5.5;  7.5];  [700000000;  1078761917.5]
2,right,0.03523060381999997,1418,[5.5;  7.5];  [700000000;  1078761917.5]
2,left,0.025678101499999998,1418,[4.0;  6.0];  [0.0;  378761917.75]
2,right,0.034553970830000086,1418,[4.0;  6.0];  [0.0;  378761917.75]
2,left,0.019148398490000034,1418,[6.0;  8.0];  [300000000;  678761917.75]
2,right,0.04343808953000007,1418,[6.0;  8.0];  [300000000;  678761917.75]
2,left,0.026524047799999836,1418,[7.0;  9.0];  [200000000;  578761917.75]
2,right,0.042264519390000144,1418,[7.0;  9.0];  [200000000;  578761917.75]
